"Budget function","Budget sub-function","Federal account","Program activity","Count"
"Elementary, secondary, and vocational education","Career, Technical, and Adult Education, Education","Career and Technical Education National Activities","Contractual services and supplies","2475877"
"Elementary, secondary, and vocational education","Career, Technical, and Adult Education, Education","Career and Technical Education National Activities","Unknown","350000"
"Elementary, secondary, and vocational education","Career, Technical, and Adult Education, Education","Reimbursable program","Contractual services and supplies","2297462"
"Elementary, secondary, and vocational education","Impact AID, Education","Basic support payments","Grants and fixed charges","1566919926"
"Elementary, secondary, and vocational education","Impact AID, Education","Payments for Federal property","Grants and fixed charges","78964130"
"Elementary, secondary, and vocational education","Impact AID, Education","Payments for children with disabilities","Grants and fixed charges","61826103"
"Elementary, secondary, and vocational education","Impact AID, Education","Construction","Grants and fixed charges","6304424"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Credit enhancement for charter school facilities","Grants and fixed charges","278895236"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Credit enhancement for charter school facilities","Contractual services and supplies","6923221"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Race to the top","Grants and fixed charges","245601219"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Race to the top","Contractual services and supplies","558751"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Education, innovation, and research","Grants and fixed charges","198394806"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Education, innovation, and research","Contractual services and supplies","6745294"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Teacher and school leader incentive fund","Grants and fixed charges","197691479"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Teacher and school leader incentive fund","Contractual services and supplies","2308520"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Advanced placement","Grants and fixed charges","96119567"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Advanced placement","Contractual services and supplies","1527432"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Charter school grants","Grants and fixed charges","64773814"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Charter school grants","Contractual services and supplies","226185"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Magnet school assistance","Grants and fixed charges","56250000"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Magnet school assistance","Contractual services and supplies","103532"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","DC schools","Grants and fixed charges","50229168"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","DC schools","Contractual services and supplies","1451631"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","American history and civics academies","Grants and fixed charges","27736300"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","American history and civics academies","Contractual services and supplies","4700"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Arts in education","Grants and fixed charges","26116628"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Arts in education","Contractual services and supplies","883371"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","School leader recruitment and support","Grants and fixed charges","14500000"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Javits gifted and talented education","Grants and fixed charges","11904112"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","Javits gifted and talented education","Contractual services and supplies","95887"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","American history and civics academies","Grants and fixed charges","3484100"
"Elementary, secondary, and vocational education","Innovation and Improvement, Education","American history and civics academies","Contractual services and supplies","30900"
"Elementary, secondary, and vocational education","Bilingual and Immigrant Education, Education","English language acquisition grants","Grants and fixed charges","740297530"
"Elementary, secondary, and vocational education","Bilingual and Immigrant Education, Education","English language acquisition grants","Contractual services and supplies","3444482"
"Elementary, secondary, and vocational education","Payment to Issuer of Qualified School Construction Bonds, Internal Revenue Service, Treasury","Payment to Issuer of Qualified School Construction Bonds (Direct)","Grants and fixed charges","673331271"
"Elementary, secondary, and vocational education","Indian Education, Office of Elementary and Secondary Education, Education","Grants to local educational agencies","Grants and fixed charges","100324359"
"Elementary, secondary, and vocational education","Indian Education, Office of Elementary and Secondary Education, Education","Special programs for Indian children","Grants and fixed charges","57993000"
"Elementary, secondary, and vocational education","Indian Education, Office of Elementary and Secondary Education, Education","National activities","Grants and fixed charges","3625744"
"Elementary, secondary, and vocational education","Indian Education, Office of Elementary and Secondary Education, Education","National activities","Contractual services and supplies","3004922"
"Elementary, secondary, and vocational education","Safe Schools and Citizenship Education, Education","Promise neighborhoods","Grants and fixed charges","71132826"
"Elementary, secondary, and vocational education","Safe Schools and Citizenship Education, Education","Promise neighborhoods","Contractual services and supplies","2058749"
"Elementary, secondary, and vocational education","Safe Schools and Citizenship Education, Education","School safety national activities","Grants and fixed charges","62988969"
"Elementary, secondary, and vocational education","Safe Schools and Citizenship Education, Education","School safety national activities","Contractual services and supplies","4869731"
"Elementary, secondary, and vocational education","Safe Schools and Citizenship Education, Education","Project SERV","Grants and fixed charges","10000000"
"Elementary, secondary, and vocational education","Payment to Issuer of Qualified Zone Academy Bonds, Internal Revenue Service, Treasury","Payment to Issuer of Qualified Zone Academy Bonds (Direct)","Grants and fixed charges","52359346"
"Elementary, secondary, and vocational education","Federal Payment for School Improvement, Treasury","Department of Education allocation account","Grants and fixed charges","45000000"
"Elementary, secondary, and vocational education","American Printing House for the Blind, Special Institutions for Persons with Disabilities, Education","American printing house for the blind","Grants and fixed charges","25431000"
"Elementary, secondary, and vocational education","Gifts and Donations, Bureau of Indian Affairs","Gifts and Donations, Bureay of Indian Affais (Direct)","Personnel compensation and benefits","444225"
"Elementary, secondary, and vocational education","Gifts and Donations, Bureau of Indian Affairs","Gifts and Donations, Bureay of Indian Affais (Direct)","Contractual services and supplies","228594"
"Elementary, secondary, and vocational education","Gifts and Donations, Bureau of Indian Affairs","Gifts and Donations, Bureay of Indian Affais (Direct)","Acquisition of assets","69715"
"Social services","All","All","All","20195101013"
"Training and employment","All","All","All","10062335343"
"Other labor services","All","All","All","2513963614"
"Research and general education aids","All","All","All","2147144587"
